interest_text,career,description
I want to start my own business,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I enjoy creating new products,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I am passionate about startups,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I want to become financially independent,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I like taking risks for success,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I enjoy problem solving in business,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I want to innovate in technology,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I am interested in building companies,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I want to manage my own team,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I am passionate about leadership,Entrepreneur,"An Entrepreneur creates, manages, and grows businesses by taking risks and innovating new ideas."
I like building bridges and roads,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I want to design infrastructure projects,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I am interested in construction,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I enjoy studying structures,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I want to work on large projects,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I like applying physics to engineering,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I want to design sustainable cities,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I enjoy problem solving in structures,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I am passionate about architecture and design,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I want to become a project manager,Civil Engineer,"A Civil Engineer designs, constructs, and maintains infrastructure projects like roads, bridges, and buildings."
I like writing and reporting,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I want to work in media,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I am passionate about storytelling,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I enjoy interviewing people,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I want to become a news reporter,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I enjoy writing articles,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I am interested in global events,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I want to investigate stories,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I am passionate about freedom of press,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
I want to become a TV anchor,Journalist,"A Journalist researches, writes, and reports news stories to inform the public and analyze global events."
"I like travelling, exploring places",Travel Blogger / Vlogger,"Create blogs or vlogs about destinations, cultures, and travel tips."
"I like travelling, exploring places",Tourism & Hospitality Professional,"Work in hotels, airlines, or travel agencies to help people explore the world."
"I like travelling, exploring places",Travel Photographer / Filmmaker,"Capture landscapes, wildlife, and cultures through photos and videos."
"I like travelling, exploring places",Adventure Tourism Guide,"Lead treks, safaris, or adventure tours for travelers"
"I like travelling, exploring places",Archaeologist / Anthropologist,Explore ancient sites and study cultures and civilizations.
"I like travelling, exploring places",Wildlife Conservationist,Travel to different regions to study and protect biodiversity.
I like cooking,Chef,"Work in restaurants, hotels, or private kitchens to create meals."
"I like cooking, travelling",Food Blogger / Vlogger,"Share recipes, reviews, and cooking tips through blogs, YouTube, or social media."
I like cooking,Catering Business Owner,Start your own food business to serve at events or provide meal services.
I like cooking,Culinary Instructor,Teach others how to cook through classes or workshops.
I like cooking,Food Scientist,"Develop new recipes, improve food quality, and work in food research."
